Age,Gender,Period,Unemployed,State
16 to 19 years,Men,2005-01-01,91000,State
20 to 24 years,Men,2005-01-01,175000,State
25 to 34 years,Men,2005-01-01,194000,State
35 to 44 years,Men,2005-01-01,201000,State
45 to 54 years,Men,2005-01-01,207000,State
55 to 64 years,Men,2005-01-01,101000,State
65 years and over,Men,2005-01-01,33000,State
16 to 19 years,Women,2005-01-01,38000,State
20 to 24 years,Women,2005-01-01,90000,State
25 to 34 years,Women,2005-01-01,142000,State
35 to 44 years,Women,2005-01-01,180000,State
45 to 54 years,Women,2005-01-01,157000,State
55 to 64 years,Women,2005-01-01,71000,State
65 years and over,Women,2005-01-01,82000,State
16 to 19 years,Men,2005-02-01,90000,State
20 to 24 years,Men,2005-02-01,154000,State
25 to 34 years,Men,2005-02-01,176000,State
35 to 44 years,Men,2005-02-01,184000,State
45 to 54 years,Men,2005-02-01,186000,State
55 to 64 years,Men,2005-02-01,98000,State
65 years and over,Men,2005-02-01,38000,State
16 to 19 years,Women,2005-02-01,54000,State
20 to 24 years,Women,2005-02-01,114000,Pune
25 to 34 years,Women,2005-02-01,119000,Pune
35 to 44 years,Women,2005-02-01,170000,Pune
45 to 54 years,Women,2005-02-01,173000,Pune
55 to 64 years,Women,2005-02-01,94000,Pune
65 years and over,Women,2005-02-01,85000,Pune
16 to 19 years,Men,2005-03-01,114000,Pune
20 to 24 years,Men,2005-03-01,137000,Pune
25 to 34 years,Men,2005-03-01,195000,Pune
35 to 44 years,Men,2005-03-01,211000,Pune
45 to 54 years,Men,2005-03-01,223000,Pune
55 to 64 years,Men,2005-03-01,115000,Pune
65 years and over,Men,2005-03-01,32000,Pune
16 to 19 years,Women,2005-03-01,53000,Pune
20 to 24 years,Women,2005-03-01,113000,Pune
25 to 34 years,Women,2005-03-01,102000,Pune
35 to 44 years,Women,2005-03-01,141000,Pune
45 to 54 years,Women,2005-03-01,152000,Pune
55 to 64 years,Women,2005-03-01,101000,Pune
65 years and over,Women,2005-03-01,72000,Pune
16 to 19 years,Men,2005-04-01,86000,Pune
20 to 24 years,Men,2005-04-01,125000,Pune
25 to 34 years,Men,2005-04-01,191000,Pune
35 to 44 years,Men,2005-04-01,206000,Pune
45 to 54 years,Men,2005-04-01,181000,Pune
55 to 64 years,Men,2005-04-01,93000,Pune
65 years and over,Men,2005-04-01,31000,Pune
16 to 19 years,Women,2005-04-01,53000,Pune
20 to 24 years,Women,2005-04-01,114000,Pune
25 to 34 years,Women,2005-04-01,151000,Pune
35 to 44 years,Women,2005-04-01,172000,Pune
45 to 54 years,Women,2005-04-01,160000,Pune
55 to 64 years,Women,2005-04-01,90000,Pune
65 years and over,Women,2005-04-01,80000,Pune
16 to 19 years,Men,2005-05-01,87000,Pune
20 to 24 years,Men,2005-05-01,106000,Pune
25 to 34 years,Men,2005-05-01,183000,Pune
35 to 44 years,Men,2005-05-01,173000,Pune
45 to 54 years,Men,2005-05-01,159000,Pune
55 to 64 years,Men,2005-05-01,87000,Pune
65 years and over,Men,2005-05-01,22000,Pune
16 to 19 years,Women,2005-05-01,44000,Pune
20 to 24 years,Women,2005-05-01,99000,Pune
25 to 34 years,Women,2005-05-01,149000,Pune
35 to 44 years,Women,2005-05-01,144000,Pune
45 to 54 years,Women,2005-05-01,178000,Pune
55 to 64 years,Women,2005-05-01,74000,Pune
65 years and over,Women,2005-05-01,71000,Pune
16 to 19 years,Men,2005-06-01,74000,Pune
20 to 24 years,Men,2005-06-01,109000,Pune
25 to 34 years,Men,2005-06-01,162000,Pune
35 to 44 years,Men,2005-06-01,146000,Pune
45 to 54 years,Men,2005-06-01,171000,Pune
55 to 64 years,Men,2005-06-01,64000,Pune
65 years and over,Men,2005-06-01,37000,Pune
16 to 19 years,Women,2005-06-01,47000,Pune
20 to 24 years,Women,2005-06-01,73000,Pune
25 to 34 years,Women,2005-06-01,114000,Pune
35 to 44 years,Women,2005-06-01,114000,Pune
45 to 54 years,Women,2005-06-01,150000,Pune
55 to 64 years,Women,2005-06-01,58000,Pune
65 years and over,Women,2005-06-01,89000,Pune
16 to 19 years,Men,2005-07-01,79000,Pune
